AIAdoptionLevel;AutomationRisk;CompanySize;IndustryID;IndustryName;JobGrowthProjection;JobRole;Location;RemoteFriendly;RequiredSkill_ID;RequiredSkillName;SalaryUSD
Medium;High;Small;3;Entertainment;Growth;Cybersecurity Analyst;Dubai;Yes;10;UX/UI Design;111392,165243159
Medium;High;Large;8;Technology;Decline;Marketing Specialist;Singapore;No;6;Marketing;93792,562466109
Medium;High;Large;8;Technology;Growth;AI Researcher;Singapore;Yes;10;UX/UI Design;107170,263068949
Low;High;Small;7;Retail;Growth;Sales Manager;Berlin;No;7;Project Management;93027,953757864
Low;Low;Small;3;Entertainment;Decline;Cybersecurity Analyst;Tokyo;Yes;4;JavaScript;87752,922170592
Medium;Medium;Large;1;Education;Growth;UX Designer;San Francisco;No;2;Cybersecurity;102825,007866567
Low;High;Medium;4;Finance;Growth;HR Manager;Singapore;Yes;9;Sales;102065,720673475
Medium;Low;Small;8;Technology;Decline;Cybersecurity Analyst;Dubai;Yes;5;Machine Learning;86607,317618097
High;Low;Large;7;Retail;Stable;AI Researcher;London;No;4;JavaScript;75015,860845715
High;Low;Medium;3;Entertainment;Decline;Sales Manager;Singapore;Yes;2;Cybersecurity;96834,578294809
High;High;Small;4;Finance;Growth;Marketing Specialist;London;Yes;8;Python;91566,973379252
Medium;High;Medium;3;Entertainment;Growth;AI Researcher;Singapore;No;10;UX/UI Design;78902,565744585
High;Medium;Large;10;Transportation;Growth;AI Researcher;San Francisco;Yes;8;Python;73151,990349264
Low;High;Small;7;Retail;Decline;HR Manager;Paris;Yes;2;Cybersecurity;98209,516877889
High;High;Medium;4;Finance;Growth;Product Manager;Singapore;Yes;4;JavaScript;101001,901140553
High;Low;Small;9;Telecommunications;Growth;Sales Manager;Dubai;No;10;UX/UI Design;82799,357706903
High;Medium;Medium;6;Manufacturing;Decline;Software Engineer;Singapore;No;5;Machine Learning;78401,259281741
Low;High;Large;6;Manufacturing;Stable;AI Researcher;Tokyo;No;7;Project Management;73394,896219256
Medium;High;Large;4;Finance;Stable;Product Manager;San Francisco;Yes;10;UX/UI Design;97645,098782898
Low;Low;Small;3;Entertainment;Growth;Software Engineer;Dubai;Yes;10;UX/UI Design;73920,458527185
Medium;Low;Medium;7;Retail;Decline;Sales Manager;Sydney;Yes;4;JavaScript;134822,691380414
Medium;High;Small;6;Manufacturing;Growth;Data Scientist;Dubai;Yes;4;JavaScript;81794,371280580
High;Medium;Small;7;Retail;Decline;UX Designer;Tokyo;No;2;Cybersecurity;41495,714442548
Medium;Medium;Medium;6;Manufacturing;Decline;Product Manager;Paris;Yes;3;Data Analysis;89396,566667417
Low;Low;Medium;10;Transportation;Stable;Operations Manager;San Francisco;Yes;10;UX/UI Design;88539,330403624
Low;Low;Medium;3;Entertainment;Stable;Data Scientist;Sydney;Yes;9;Sales;112234,371350483
Medium;High;Large;10;Transportation;Decline;UX Designer;Tokyo;No;10;UX/UI Design;95762,524734554
High;Low;Small;6;Manufacturing;Growth;HR Manager;Tokyo;Yes;2;Cybersecurity;73323,296331204
High;High;Small;9;Telecommunications;Stable;Cybersecurity Analyst;New York;Yes;6;Marketing;84272,162530064
Low;Medium;Large;9;Telecommunications;Growth;Marketing Specialist;San Francisco;Yes;8;Python;96548,395433020
High;Medium;Medium;10;Transportation;Stable;Operations Manager;Dubai;Yes;7;Project Management;46705,714993792
Medium;High;Large;9;Telecommunications;Stable;HR Manager;London;Yes;3;Data Analysis;116772,434687809
Medium;Low;Large;6;Manufacturing;Growth;Sales Manager;Paris;No;5;Machine Learning;73376,602283907
Low;Medium;Large;4;Finance;Stable;HR Manager;London;Yes;5;Machine Learning;118340,876418952
Medium;Low;Small;10;Transportation;Stable;Cybersecurity Analyst;Dubai;Yes;5;Machine Learning;97849,302822532
Low;Medium;Large;5;Healthcare;Growth;Sales Manager;Dubai;Yes;4;JavaScript;102591,882727879
